country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Uttar_Pradesh,Ghaziabad,"Sanjay Nagar, Ghaziabad - UPPCB","24-09-2024 10:00:00",28.685382,77.453839,OZONE,3,66,7
India,Uttar_Pradesh,"Greater Noida","Knowledge Park - V, Greater Noida - UPPCB","24-09-2024 10:00:00",28.557054,77.453663,OZONE,3,96,35
India,Uttar_Pradesh,Firozabad,"Nagla Bhau, Firozabad - UPPCB","24-09-2024 10:00:00",27.168897,78.376960,OZONE,19,26,21
India,TamilNadu,Ooty,"Bombay Castel, Ooty - TNPCB","24-09-2024 10:00:00",11.4068288,76.7138973,OZONE,5,6,5
India,Uttar_Pradesh,Lucknow,"B R Ambedkar University, Lucknow - UPPCB","24-09-2024 10:00:00",26.766433,80.927299,OZONE,27,42,31
India,Uttar_Pradesh,Noida,"Sector-1, Noida - UPPCB","24-09-2024 10:00:00",28.5898,77.3101,OZONE,5,149,11
India,Uttarakhand,Rishikesh,"Shivaji Nagar, Rishikesh - UKPCB","24-09-2024 10:00:00",30.075911,78.2859547,OZONE,5,5,5
India,West_Bengal,Asansol,"Trivenidevi Bhalotia College, Asansol - WBPCB","24-09-2024 10:00:00",23.616515,87.119133,CO,2,54,40
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","24-09-2024 10:00:00",25.560083,87.553265,OZONE,20,34,29
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB","24-09-2024 10:00:00",16.486692,80.699436,OZONE,NA,NA,NA
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","24-09-2024 10:00:00",17.72,83.3,OZONE,15,26,16
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","24-09-2024 10:00:00",26.987634,94.636574,OZONE,1,14,1
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","24-09-2024 10:00:00",25.03280,85.41948,OZONE,25,43,33
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB (Formerly known as DRCC Anandpur)","24-09-2024 10:00:00",25.42742023,86.13886079,OZONE,2,35,8
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","24-09-2024 10:00:00",26.446912,91.439057,OZONE,14,19,16
India,Assam,Silchar,"Tarapur, Silchar - PCBA","24-09-2024 10:00:00",24.82827,92.79525,CO,28,31,30
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","24-09-2024 10:00:00",26.1403345,85.3650192,OZONE,20,75,52
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","24-09-2024 10:00:00",25.366336,87.117468,OZONE,1,61,1
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","24-09-2024 10:00:00",14.465052,78.824187,OZONE,NA,NA,NA
India,Assam,Guwahati,"IITG, Guwahati - PCBA","24-09-2024 10:00:00",26.2028636,91.70046436,OZONE,NA,NA,NA
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","24-09-2024 10:00:00",28.5710274,77.0719006,OZONE,18,99,20
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD","24-09-2024 10:00:00",28.5627763,77.1180053,OZONE,7,48,10
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","24-09-2024 10:00:00",25.859655,85.77944,OZONE,10,20,13
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","24-09-2024 10:00:00",26.2271665,84.3570427,OZONE,1,38,7
